"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",".",".",".",".",".",".",1088562.145549,251604.137,948020.285,25755.198738,1225379.620738,254708.26,1007428.67,31614.121765,1293751.051765,257547.464,1063950.43307,26909.527868,1348407.424938
"Total ","Infectious diseases ","Infectious diseases ",".",".",".",".",".",".",17230.499,6218.083,70316.435,11365.934283,87900.452283,5800.919,39356.204,11541.125998,56698.248998,5749.087,33784.342185,2689.817434,42223.246619
"","Cancers & tumours ","Cancers & tumours ",".",".",".",".",".",".",70181.889,3940.733,75789.206,0,79729.939,3661.167,86189.279,0,89850.446,3711.308,87911.279563,0,91622.587563
"","Blood disorders ","Blood disorders ",".",".",".",".",".",".",16109.215,2812.771,12540.084,0,15352.855,3065.947,11162.684,0,14228.631,2572.452,12940.254437,0,15512.706437
"","Endocrine, nutritional & metabolic problems ","",".",".",".",".",".",".",50635.493,33279.001,23419.211,0,56698.212,34183.694,26895.369,0,61079.063,37267.793,28849.04029,0,66116.83329
"","Endocrine, nutritional & metabolic problems ","Diabetes ",".",".",".",".",".",".",24728.497,19590.937,5053.817,0,24644.754,20271.454,6079.912,0,26351.366,21891.611,5905.375462,0,27796.986462
"","","Other endocrine, nutritional and metabolic problems ",".",".",".",".",".",".",25906.996,13688.064,18365.394,0,32053.458,13912.24,20815.457,0,34727.697,15376.182,22943.664828,0,38319.846828
"","Mental health problems ","",".",".",".",".",".",".",128870.256,12248.674,137890.096,0,150138.77,9439.589,140195.722,0,149635.311,9438.328,154311.072239,0,163749.400239
"","Mental health problems ","General mental illness ",".",".",".",".",".",".",71342.007,2841.629,79939.307,0,82780.936,2719.314,85337.016,0,88056.33,2951.706,88756.936818,0,91708.642818
"","","Elderly mental illness ",".",".",".",".",".",".",31000.58,560.231,33241.184,0,33801.415,516.552,32951.44,0,33467.992,404.225,39696.487855,0,40100.712855
"","","Child & adolescent mental health services ",".",".",".",".",".",".",10147.66,273.763,12098.569,0,12372.332,255.531,11042.338,0,11297.869,236.784,12719.205772,0,12955.989772
"","","Other mental health problems ",".",".",".",".",".",".",16380.009,8573.051,12611.036,0,21184.087,5948.192,10864.928,0,16813.12,5845.613,13138.441793,0,18984.054793
"","Learning disability problems ","Learning disability problems ",".",".",".",".",".",".",11342.726,67.407,12680.115,0,12747.522,55.753,12956.351,0,13012.104,80.564,13479.623392,0,13560.187392
"","Neurological system problems ","Neurological system problems ",".",".",".",".",".",".",45278.604,8646.635,40289.837,0,48936.472,8327.314,40665.232,0,48992.546,8314.708,49610.834839,0,57925.542839
"","Eye/vision problems ","Eye/vision problems ",".",".",".",".",".",".",32021.56,11587.592,12185.454,0,23773.046,12831.633,19230.364,0,32061.997,11834.312,22539.418739,0,34373.730739
"","Hearing problems ","Hearing problems ",".",".",".",".",".",".",7703.519,113.941,5745.491,0,5859.432,120.074,6572.934,0,6693.008,118.392,7786.475947,0,7904.867947
"","Circulation problems ","",".",".",".",".",".",".",80501.825,21221.342,63364.812,0,84586.154,22047.514,74877.951,0,96925.465,22696.174,76324.730448,0,99020.904448
"","Circulation problems ","Coronary Heart Disease ",".",".",".",".",".",".",15788.228,3820.791,12941.057,0,16761.848,3832.963,15495.148,0,19328.111,3573.879,15274.622443,0,18848.501443
"","","Cerebrovascular disease ",".",".",".",".",".",".",13126.638,573.792,16545.747,0,17119.539,542.031,18053.75,0,18595.781,251.583,16358.596161,0,16610.179161
"","","Other problems of circulation (1)",".",".",".",".",".",".",51586.959,16826.759,33878.008,0,50704.767,17672.52,41329.053,0,59001.573,18870.712,44691.511844,0,63562.223844
"","Respiratory problems ","Respiratory problems ",".",".",".",".",".",".",74547.42,22825.474,40729.793,0,63555.267,22412.694,51508.073,0,73920.767,23002.313,65247.045866,0,88249.358866
"","Dental problems ","Dental problems ",".",".",".",".",".",".",33630.352,28623.286,5387.803,0,34011.089,28705.591,6979.901,0,35685.492,27383.792,8894.786996,0,36278.578996
"","Gastro intestinal problems ","Gastro intestinal problems ",".",".",".",".",".",".",63706.853,14422.898,63692.215,0,78115.113,14891.776,65654.324,0,80546.1,16426.913,77896.189354,0,94323.102354
"","Skin problems ","Skin problems ",".",".",".",".",".",".",21031.927,6364.029,18781.586,0,25145.615,6598.169,17641.784,0,24239.953,6156.393,23536.072513,0,29692.465513
"","Musculo skeletal system problems (exc Trauma) ","Musculo skeletal system problems (exc Trauma) ",".",".",".",".",".",".",54304.907,6956.692,30850.453,0,37807.145,6352.608,39767.059,0,46119.667,5563.524,45815.237333,0,51378.761333
"","Trauma & injuries (inc burns) ","Trauma & injuries (inc burns) ",".",".",".",".",".",".",85208.408,2186.574,103708.076,0,105894.65,2028.927,108861.653,0,110890.58,2041.881,107982.505965,0,110024.386965
"","Genito Urinary system disorders (exc infertility) ","",".",".",".",".",".",".",42351.604,4504.769,41545.817,0,46050.586,4147.855,45244.328,0,49392.183,4151.039,54209.686739,0,58360.725739
"","Genito Urinary system disorders (exc infertility) ","Genital tract problems ",".",".",".",".",".",".",11978.249,931.464,7728.862,0,8660.326,882.738,11841.406,0,12724.144,865.657,14118.159719,0,14983.816719
"","","Renal problems ",".",".",".",".",".",".",11843.111,129.676,18206.767,0,18336.443,113.569,17732.881,0,17846.45,103.593,21794.13773,0,21897.73073
"","","Chronic renal failure (2)",".",".",".",".",".",".",0,0,0,0,0,0,0,0,0,0,0,0,0
